sort,obj_id,old_obj,year,query,sender1,sender_id,sender_n,date_sent,date_when,recipient1,recipient_id,recipient_n,place_sent,place_n,untranscribed
22,obj1322,Obj1337,1832,,Col J MacMahon,ppl:jpcmacmahon,obj1322-s-1,7 June 1832,1832-06-07,DBW,ppl:dbw,,Washington,obj1322-pl-24,
23,obj1323,Obj1338,1832,,Isaiah Townsend,ppl:ditj,obj1323-s-1,"Sat 21 July, 1832",1832-07-21,DBW,ppl:dbw,,,,
24,obj1324,Obj1339,1832,,"A.D. Bache [Alexander Dallas Bache],",ppl:adbache,obj1324-s-1,6 Aug 1832,1832-08-06,DBW,ppl:dbw,,,,
25,obj1325,Obj1340,1832,,"Augustus de Morgan,",ppl:admorgan,obj1325-s-1,14 August 1832,1832-08-14,DBW,ppl:dbw,,"90 Guildford Street, London",obj1325-pl-27,
26,obj1326,Obj1341,1832,,"A.D. Bache [Alexander Dallas Bache],",ppl:adbache,obj1326-s-1,16 Oct 1832,1832-10-16,DBW,ppl:dbw,,Philadelphia,obj1326-pl-30,
27,obj1327,Obj1342,1832,,John W. Francis,ppl:jwfran,obj1327-s-1,18 Oct 1832,1832-10-18,DBW,ppl:dbw,,New York,obj1327-pl-31,
28,obj1328,Obj1342,1832,,"Leonard Cassell McPhail,",ppl:lencassmcp,obj1328-s-1,19 Oct 1832,1832-10-19,DBW,ppl:dbw,,,,
29,obj1329,Obj1343,1832,,James Brown,ppl:jbro,obj1329-s-1,19 Oct 1832,1832-10-19,DBW,ppl:dbw,,Phil,obj1329-pl-33,
30,obj1330,Obj1344,1832,,"Colonel MacCord,",ppl:djmccord,obj1330-s-1,24 Nov 1832,1832-11-24,DBW,ppl:dbw,,"Columbia, SC",obj1330-pl-35,
31,obj1331,Obj1345,1832,,Secretaire de le Institut de France,org:org_046,obj1331-s-1,31 Dec 1832,1832-12-31,DBW,ppl:dbw,,,,
32,obj1332,Obj1346,1832,,"Hugh S. Legare,",ppl:hslegare,obj1332-s-1,11 Dec 1832,1832-12-11,DBW,ppl:dbw,,"Charleston, SC",obj1332-pl-46,
33,obj1333,Obj1347,1832,,Col J MacMahon,ppl:jpcmacmahon,obj1333-s-1,14 Dec 1832,1832-12-14,DBW,ppl:dbw,,"Jefferson Barracks, Missouri",obj1333-pl-48,
34,obj1334,Obj1348,1832,,Hugh Legare,ppl:hslegare,obj1334-s-1,30 Dec 1832,1832-12-30,DBW,ppl:dbw,,Brussels,obj1334-pl-55,
35,obj1335,Obj1349,1832,,de Morgan,ppl:admorgan,obj1335-s-1,1832,1832,DBW,ppl:dbw,,,,
36,obj1336,Obj1350,1832,,Leonard Cassell-McPhail,ppl:lencassmcp,obj1336-s-1,[1832],1832,DBW,ppl:dbw,,,,
37,obj1337,Obj1351,1832,,"Isaiah Townsend,",ppl:ditj,obj1337-s-1,[1832],1832,DBW,ppl:dbw,,,,
38,obj1338,Obj1352,1832,,Dr Townsend,ppl:ditj,obj1338-s-1,n.d.,1832,DBW,ppl:dbw,,,,
39,obj1339,Obj1353,1832,,Isaiah Townsend,ppl:ditj,obj1339-s-1,n.d.,1832,DBW,ppl:dbw,,,,
40,obj1340,Obj1354,1832,,Isaiah Townsend,ppl:ditj,obj1340-s-1,n.d. [1832],1832,DBW,ppl:dbw,,,,
41,obj1341,Obj1355,1832,,Isaiah Townsend,ppl:ditj,obj1341-s-1,n.d.,1832,DBW,ppl:dbw,,,,
1,obj1343,Obj1356,1833,,M. Blunt,ppl:edmblunt,obj1343-s-1,6 Jan 1833,1833-01-06,someone else,ppl:rnk2,obj1343-r-1,,,
2,obj1344,Obj1357,1833,,Charles Jackson,ppl:ctjackson,obj1344-s-1,28 Jan 1833,1833-01-28,DBW,ppl:dbw,,Philadelphia,obj1344-pl-59,
3,obj1345,Obj1358,1833,,Jos. William Jenks,ppl:jwjenks,obj1345-s-1,n.d.,1833,DBW,ppl:dbw,,16 Rue Le Pelletier,obj1345-pl-61,
4,obj1346,Obj1359,1833,,Lenard Cassel-McPhail,ppl:lencassmcp,obj1346-s-1,31 Jan 1833,1833-01-31,DBW,ppl:dbw,,,,
5,obj1347,Obj1360,1833,,"James Fenimore Cooper,",ppl:jfcooper,obj1347-s-1,[Jan 1833],1833-01,DBW,ppl:dbw,,,,
6,obj1348,Obj1361,1833,,A. Coventry,ppl:acoventry,obj1348-s-1,13 Feb 1833,1833-02-13,DBW,ppl:dbw,,Edinburgh,obj1348-pl-65,
7,obj1349,Obj1362,1833,,Lenard Cassel-McPhail,ppl:lencassmcp,obj1349-s-1,23 Feb 1833,1833-02-23,DBW,ppl:dbw,,,,
8,obj1350,Obj1363,1833,,M. Filleau,ppl:mfilleau,obj1350-s-1,27 Feb 1833,1833-02-27,DBW,ppl:dbw,,,,"
                    
                    
                  
                            M. Filleau, 27 Feb 1833
                        
               
                    
                        In French [photo] – not yet transcribed
               
                "
9,obj1351,Obj1364,1833,,"Octavia Mullanphy [later Delany],",ppl:octaviadelany,obj1351-s-1,1 Mar 1833,1833-03-01,DBW,ppl:dbw,,,,
10,obj1352,Obj1365,1833,,Robert H. Cabell,ppl:rhcabell,obj1352-s-1,12 March 1833,1833-03-12,DBW,ppl:dbw,,Richmond,obj1352-pl-68,
11,obj1353,Obj1366,1833,,"John Howard Payne,",ppl:jhp,obj1353-s-1,27 Mar 1833,1833-03-27,DBW,ppl:dbw,,Boston,obj1353-pl-72,
12,obj1354,Obj1367,1833,,Lenard Cassel-McPhail,ppl:lencassmcp,obj1354-s-1,31 Mar 1833,1833-03-31,DBW,ppl:dbw,,,,
13,obj1355,Obj1368,1833,,J. Francis Fisher,ppl:jffish,obj1355-s-1,12 April 1833,1833-04-12,DBW,ppl:dbw,,Philadelphia,obj1355-pl-76,
14,obj1356,Obj1369,1833,,R. M Patterson,ppl:rmpatterson,obj1356-s-1,13 Apr 1833,1833-04-13,DBW,ppl:dbw,,,,
15,obj1357,Obj1370,1833,,Menture Post,ppl:mpost,obj1357-s-1,14 Apr 1833,1833-04-14,DBW,ppl:dbw,,,,
16,obj1358,Obj1371,1833,,Col McCord,ppl:djmccord,obj1358-s-1,21 April 1833,1833-04-21,DBW,ppl:dbw,,Columbia,obj1358-pl-79,
17,obj1359,Obj1372,1833,,Du Murton,ppl:_dumurton,obj1359-s-1,22 Apr 1833,1833-04-22,DBW,ppl:dbw,,,,"
                    
                    
                  
                            Du Murton, 22 Apr 1833
                        
               
                    
                        In French [photo] – not yet transcribed
               
                "
18,obj1360, Obj1373 ,1833,,"Dr John Croghan,",ppl:jocroghan,obj1360-s-1,10 May 1833,1833-05-10,DBW,ppl:dbw,,London,obj1360-pl-84,
19,obj1361,Obj1374,1833,,Peter Duponceau,ppl:pdup,obj1361-s-1,13 May 1833,1833-05-13,DBW,ppl:dbw,,Philadelphia,obj1361-pl-85,
20,obj1362,Obj1375,1833,,Madame Elizabeth Patterson [Bonaparte],ppl:epb,obj1362-s-1,16 May 1833,1833-05-16,DBW,ppl:dbw,,Place Louis 15,obj1362-pl-88,
21,obj1363,Obj1376,1833,,Miss Garnett,ppl:missgarnett,obj1363-s-1,22 May 1833,1833-05-22,DBW,ppl:dbw,,Paris,obj1363-pl-89,
22,obj1364,Obj1377,1833,,Charles Jackson,ppl:ctjackson,obj1364-s-1,22 May 1833,1833-05-22,DBW,ppl:dbw,,Boston,obj1364-pl-90,
23,obj1365,Obj1378,1833,,Charles Jackson,ppl:ctjackson,obj1365-s-1,28 May 1833,1833-05-28,DBW,ppl:dbw,,Boston,obj1365-pl-92,
24,obj1366,Obj1379,1833,,"Jos. Wm. Jenks [Joseph William Jenks],",ppl:jwjenks,obj1366-s-1,28 June 1833,1833-06-28,DBW,ppl:dbw,,,,
25,obj1367,Obj1380,1833,,Thomas Sedgewick,ppl:thossedg,obj1367-s-1,7 July 1833,1833-07-07,DBW,ppl:dbw,,,,
26,obj1368,Obj1381,1833,,"M de Marbuis,",ppl:fbmarbois,obj1368-s-1,22 Apr 1833,1833-04-22,DBW,ppl:dbw,,,,"
                    
                    
                  
                            M de Marbuis,
                            
                             22 Apr 1833 
                        
               
                    
                        In French [photo] – not yet transcribed
               
                "
27,obj1369,Obj1382,1833,,C. P. White [Campbell Patrick White],ppl:cpw,obj1369-s-1,1 sep 1833,1833-09-01,DBW,ppl:dbw,,New York,obj1369-pl-98,
28,obj1370,Obj1383,1833,,Madame de Givre,ppl:mmedegivre,obj1370-s-1,9 Sep 1833,1833-09-09,DBW,ppl:dbw,,,,
29,obj1371,Obj1384,1833,,Charles Jackson,ppl:ctjackson,obj1371-s-1,4 Oct 1833,1833-10-04,DBW,ppl:dbw,,Boston,obj1371-pl-99,
30,obj1372,Obj1385,1833,,"Dr Thomas M. Logan,",ppl:tmlogan,obj1372-s-1,5 Oct 1833,1833-10-05,DBW,ppl:dbw,,Charleston,obj1372-pl-102,
31,obj1373,Obj1386,1833,,F. Fraley,ppl:ffraley,obj1373-s-1,11 Oct 1833,1833-10-11,DBW,ppl:dbw,,Phil,obj1373-pl-104,
32,obj1374,Obj1387,1833,,LaFayette,ppl:lafayette,obj1374-s-1,28 Oct 1833,1833-10-28,DBW,ppl:dbw,,La Grange,obj1374-pl-105,
33,obj1375,Obj1388,1833,,Hosack,ppl:dhos,obj1375-s-1,31 Oct 1833,1833-10-31,DBW,ppl:dbw,,,,
34,obj1376,Obj1388,1833,,MacPhail,ppl:_macphail,obj1376-s-1,6 Nov 1833,1833-11-06,DBW,ppl:dbw,,,,
35,obj1377,Obj1389,1833,,Mr Legare,ppl:hslegare,obj1377-s-1,22 Nov 1833,1833-11-22,DBW,ppl:dbw,,Paris,obj1377-pl-107,
36,obj1378,Obj1390,1833,,"Dr Logan,",ppl:tmlogan,obj1378-s-1,1 Dec 1833,1833-12-01,DBW,ppl:dbw,,Charleston,obj1378-pl-108,
37,obj1379,Obj1391,1833,,Campbell P. White,ppl:cpw,obj1379-s-1,9 Dec 1833,1833-12-09,DBW,ppl:dbw,,[Washington DC],obj1379-pl-109,
38,obj1380,Obj1392,1833,,Joseph C. Cabbell,ppl:jccabell,obj1380-s-1,13 Dec 1833,1833-12-13,madame Lejeune,ppl:mmelejeune,obj1380-r-1,Richmond,obj1380-pl-110,
39,obj1381,Obj1393,1833,,Joseph C. Cabbell,ppl:jccabell,obj1381-s-1,13 Dec 1833,1833-12-13,DBW,ppl:dbw,obj1381-r-1,Richmond,obj1381-pl-112,
40,obj1382,Obj1394,1833,,"J. ventress,",ppl:jav,obj1382-s-1,25 Dec [1833],1833-12-25,DBW,ppl:dbw,,Baltimore,obj1382-pl-113,
41,obj1383,Obj1395,1833,,J Ventress,ppl:jav,obj1383-s-1,26 Dec [18]33,1833-12-26,D.B Warden,ppl:dbw,obj1383-r-1,Baltimore,obj1383-pl-118,
42,obj1384,Obj1396,1833,,"Mr Biddle,",ppl:mrbidd,obj1384-s-1,[Dec 1833],1833-12,DBW,ppl:dbw,,,,
43,obj1385,Obj1397,1833,,Mr Biddle,ppl:mrbidd,obj1385-s-1,[1833],1833,DBW,ppl:dbw,,,,
44,obj1386,Obj1398,1833,,H Garnett,ppl:hgarnett,obj1386-s-1,,,DBW,ppl:dbw,,41 rue de la Madeline,obj1386-pl-119,
1,obj1388,Obj1399,1834,,"Anna Bridgen,",ppl:abridgen,obj1388-s-1,8 Feb 1834,1834-02-08,DBW,ppl:dbw,,,,
2,obj1389,Obj1400,1834,,"Thomas P. Barton,",ppl:tpbarton,obj1389-s-1,12 Mar [1834],1834-03-12,DBW,ppl:dbw,,,,
3,obj1390,Obj1401,1834,,Joseph C. Cabell,ppl:jccabell,obj1390-s-1,19 Mar 1834,1834-03-19,DBW,ppl:dbw,,Richmond,obj1390-pl-121,
4,obj1391,Obj1402,1834,,Dr MacNeven,ppl:wmacneven,obj1391-s-1,25 Mar 1834,1834-03-25,DBW,ppl:dbw,,,,
5,obj1392,Obj1403,1834,,Dr G. Bedford,ppl:dgsb,obj1392-s-1,7 April 1834,1834-04-07,DBW,ppl:dbw,,New York,obj1392-pl-124,
6,obj1393,Obj1404,1834,,Thomas Allen,ppl:thomallen,obj1393-s-1,,,DBW,ppl:dbw,,"34 Wall Street, New York",obj1393-pl-126,
7,obj1394,Obj1405,1834,,Theodore Allen,ppl:theoallen,obj1394-s-1,19 May 1834,1834-05-19,DBW,ppl:dbw,,,,
8,obj1395,Obj1405,1834,,J. R. Poinsett,ppl:jrpoinsett,obj1395-s-1,26 May 1834,1834-05-26,DBW,ppl:dbw,,Charleston,obj1395-pl-127,
9,obj1396,Obj1406,1834,,MacNeven,ppl:wmacneven,obj1396-s-1,28 May 1834,1834-05-28,DBW,ppl:dbw,,,,
10,obj1397,Obj1407,1834,,"Joseph Peace,",ppl:jpeace,obj1397-s-1,12 June 1834,1834-06-12,DBW,ppl:dbw,,Philadelphia,obj1397-pl-135,
11,obj1398,Obj1408,1834,,"Mrs Ann Biddle,",ppl:annbiddle,obj1398-s-1,15 June 1834,1834-06-15,DBW,ppl:dbw,,New York,obj1398-pl-137,
12,obj1399,Obj1409,1834,,"E. & G.W. Blunt,",org:org_032,obj1399-s-1,24 June 1834,1834-06-24,DBW,ppl:dbw,,New York,obj1399-pl-141,
13,obj1400,Obj1410,1834,,Theodore Allen,ppl:theoallen,obj1400-s-1,26 June 1834,1834-06-26,DBW,ppl:dbw,,,,
14,obj1401,Obj1411,1834,,Dr William Macneven,ppl:wmacneven,obj1401-s-1,28 June 1834,1834-06-28,DBW,ppl:dbw,,,,
15,obj1402,Obj1412,1834,,"Charles Sealsfield,",ppl:kap,obj1402-s-1,5 July 1834,1834-07-05,DBW,ppl:dbw,,Suisse,obj1402-pl-142,
16,obj1403,Obj1413,1834,,Dr William Macneven,ppl:wmacneven,obj1403-s-1,4 July 1834,1834-07-04,DBW,ppl:dbw,,,,
17,obj1404,Obj1414,1834,,Hugh Legare,ppl:hslegare,obj1404-s-1,14 Jul 1834,1834-07-14,DBW,ppl:dbw,,Brussels,obj1404-pl-144,
18,obj1405,Obj1415,1834,,"Dr F. Wurdemann,",ppl:jgfwurdemann,obj1405-s-1,31 Jul 1834,1834-07-31,DBW,ppl:dbw,,"Charleston, South Carolina",obj1405-pl-146,
19,obj1406,Obj1416,1834,,"H. Atherton,",ppl:humatherton,obj1406-s-1,24 Sep 1834,1834-09-24,DBW,ppl:dbw,,,,
20,obj1407,Obj1417,1834,,Gen. F. P. Robinson,ppl:fprobinson,obj1407-s-1,8 Oct 1834,1834-10-08,DBW,ppl:dbw,,19 Rue Lepellelier,obj1407-pl-151,
21,obj1408,Obj1418,1834,,"[Catherine Van Gassbeek Stanley],",ppl:cgstanley,obj1408-s-1,"October 10, 1834",1834-10-10,DBW,ppl:dbw,,East Hartford,obj1408-pl-152,
22,obj1409,Obj1419,1834,,"Rafinesque,",ppl:csrafinesque,obj1409-s-1,22 Oct 1834,1834-10-22,DBW,ppl:dbw,,Philadelphia,obj1409-pl-154,"
                    
                    
                  
                            Rafinesque,
                            
                             Philadelphia, 22 Oct 1834
                        
               
                    
                        In French but clearly written and probably translatable [x4] – not yet
                        transcribed
               
                "
23,obj1410,Obj1420,1834,,"Major Lee,",ppl:henrylee,obj1410-s-1,25 Oct 1834,1834-10-25,DBW,ppl:dbw,,Paris,obj1410-pl-155,
24,obj1411,Obj1421,1834,,"J.E. Worcester,",ppl:jeworcester,obj1411-s-1,27 Oct 1834,1834-10-27,DBW,ppl:dbw,,"Cambridge, Mass",obj1411-pl-156,
25,obj1412,Obj1422,1834,,"Dr Frederick Bronson,",ppl:fredbronson,obj1412-s-1,Oct 1834,1834-10,DBW,ppl:dbw,,New York,obj1412-pl-157,
26,obj1413,Obj1423,1834,,J. Torrey,ppl:jostorrey,obj1413-s-1,October 1834,1834-10,DBW,ppl:dbw,,"Burlington, Vermont",obj1413-pl-159,
27,obj1414,Obj1424,1834,,Dr J. A. Washington,ppl:jawashington,obj1414-s-1,7 Nov 1834,1834-11-07,DBW,ppl:dbw,,New York,obj1414-pl-160,
28,obj1415,Obj1425,1834,,"F. Wurdemann,",ppl:jgfwurdemann,obj1415-s-1,[1834],1834,DBW,ppl:dbw,,,,
29,obj1416,Obj1426,1834,,Henry Barnard,ppl:henbarnard,obj1416-s-1,4 Dec 1834,1834-12-04,DBW,ppl:dbw,,Paris,obj1416-pl-163,
30,obj1417,Obj1427,1834,,Thomas Pennant Barton,ppl:tpbarton,obj1417-s-1,14 Dec 1834,1834-12-14,DBW,ppl:dbw,,Paris,obj1417-pl-166,
31,obj1418,Obj1428,1834,,Thomas Pennant Barton,ppl:tpbarton,obj1418-s-1,n.d,1834,DBW,ppl:dbw,,,,
32,obj1419,Obj1429,1834,,Pennant Barton [Thomas Pennant Barton],ppl:tpbarton,obj1419-s-1,,,DBW,ppl:dbw,,,,
33,obj1420,Obj1430,1834,,"Miss Bridgen,",ppl:missbridgen,obj1420-s-1,n.d. [1834],1834,DBW,ppl:dbw,,,,
1,obj1422,Obj1431,1835,,J. A. Washington,ppl:jawashington,obj1422-s-1,2 Jan 1835,1835-01-02,DBW,ppl:dbw,,New York,obj1422-pl-169,
2,obj1423,Obj1432,1835,,J. A. Washington,ppl:jawashington,obj1423-s-1,2 Jan 1835,1835-01-02,DBW,ppl:dbw,,New York,obj1423-pl-174,
3,obj1424,Obj1433,1835,,"E.& G. W Blunt,",org:org_032,obj1424-s-1,19 Jan 1835,1835-01-19,DBW,ppl:dbw,,,,
4,obj1425,Obj1434,1835,correspondence_note,,,,,,,,,,,"
                    
                    
                  
                            [Fragment, possibly in DBW’s hand] Le Bon Sense du
                                Samedi 24 Jan 1835
                        
               
                    
                        In French but translatable [see photo] – not yet transcribed 
               
                "
5,obj1426,Obj1435,1835,,"B. W. Richards,",ppl:bwrichards,obj1426-s-1,6 Feb 1835,1835-02-06,DBW,ppl:dbw,,Philadelphia,obj1426-pl-178,
6,obj1427,Obj1436,1835,,"Gen. [Solomon] Van Rensselaer,",ppl:svrensselaer,obj1427-s-1,14 Feb 1835,1835-02-14,DBW,ppl:dbw,,NY,obj1427-pl-180,
7,obj1428,Obj1437,1835,,Dr MacNeven,ppl:wmacneven,obj1428-s-1,11 Feb 1835,1835-02-11,DBW,ppl:dbw,,NY,obj1428-pl-185,
8,obj1429,Obj1438,1835,,Richard Harton,ppl:rharton,obj1429-s-1,13 Feb 1835,1835-02-13,DBW,ppl:dbw,,Philadelphia,obj1429-pl-186,
9,obj1430,Obj1439,1835,,Henry Tanner,ppl:htanner,obj1430-s-1,14 Feb 1835,1835-02-14,DBW,ppl:dbw,,Philadelphia,obj1430-pl-188,
10,obj1431,Obj1440,1835,,Hosack,ppl:dhos,obj1431-s-1,14 Feb 1835,1835-02-14,DBW,ppl:dbw,,NY,obj1431-pl-190,
11,obj1432,Obj1441,1835,,Dr J. A. Washington,ppl:jawashington,obj1432-s-1,18 Mar 1835,1835-03-18,DBW,ppl:dbw,,NY,obj1432-pl-191,
12,obj1433,Obj1442,1835,,Alexandre Vivien,ppl:avivien,obj1433-s-1,19 Mar 1835,1835-03-19,DBW,ppl:dbw,,Paris,obj1433-pl-193,"
                    
                    
                  
                            Alexandre Vivien, Chambre des Deputes, Commission
                                d’Enquete, Paris, 19 Mar 1835
                        
               
                    
                        IN French [photo] with printed enclosure [photos x 9] – not yet transcribed
               
                "
13,obj1434,Obj1443,1835,,Dr J. A. Washington,ppl:jawashington,obj1434-s-1,23 Mar 1835,1835-03-23,DBW,ppl:dbw,,NY,obj1434-pl-194,
14,obj1435,Obj1444,1835,,Alexandre Vivien,ppl:avivien,obj1435-s-1,23 Mar 1835,1835-03-23,DBW,ppl:dbw,,,,"
                    
                    
                  
                            Alexandre Vivien, 23 Mar 1835
                        
               
                    
                        In French [photo] – not yet transcribed 
               
                "
15,obj1436,Obj1445,1835,,"Henry Vethake,",ppl:hvethake,obj1436-s-1,28 Mar 1835,1835-03-28,DBW,ppl:dbw,,"Lexington, VA",obj1436-pl-197,
16,obj1437,Obj1446,1835,,Alexandre Vivien,ppl:avivien,obj1437-s-1,March 1835,1835-03,DBW,ppl:dbw,,,,
17,obj1438,Obj1447,1835,,R.M. Patterson,ppl:rmpatterson,obj1438-s-1,1 Apr 1835,1835-04-01,DBW,ppl:dbw,,Virginia,obj1438-pl-200,
18,obj1439,Obj1447,1835,,James Mease,ppl:jmea,obj1439-s-1,10 April 1835,1835-04-10,DBW,ppl:dbw,,Phil,obj1439-pl-202,
19,obj1440,Obj1448,1835,,G.C. Verplank,ppl:gcv,obj1440-s-1,10 April 1835,1835-04-10,DBW,ppl:dbw,,NY,obj1440-pl-208,
20,obj1441,Obj1449,1835,,John K. Kane,ppl:jkkane,obj1441-s-1,13 Apr 1835,1835-04-13,DBW,ppl:dbw,,Philadelphia,obj1441-pl-211,
21,obj1442,Obj1500,1835,,"Lt. Dugas,",ppl:ladugas,obj1442-s-1,15 Apr 1835,1835-04-15,DBW,ppl:dbw,,"Augusta, Georgia",obj1442-pl-212,
22,obj1443,Obj1501,1835,,E. & G. W. Blunt,org:org_032,obj1443-s-1,24 April 1835,1835-04-24,DBW,ppl:dbw,,NY,obj1443-pl-214,
23,obj1444,Obj1502,1835,,J. Bleecker Van Shaick,ppl:jbvshaick,obj1444-s-1,28 Apr 1835,1835-04-28,DBW,ppl:dbw,,Albany,obj1444-pl-215,
24,obj1445,Obj1503,1835,,"Dunscourt Bradford,",ppl:dunsbradford,obj1445-s-1,29 April 1835,1835-04-29,DBW,ppl:dbw,,Paris,obj1445-pl-222,
25,obj1446,Obj1503,1835,,Dr Robert Baird,ppl:robbaird,obj1446-s-1,1 May 1835,1835-05-01,DBW,ppl:dbw,,Paris,obj1446-pl-225,
26,obj1447,Obj1505,1835,,Major Henry Lee IV,ppl:henrylee,obj1447-s-1,1 May 1835,1835-05-01,DBW,ppl:dbw,,,,
27,obj1448,Obj1506,1835,,J. A. Washington,ppl:jawashington,obj1448-s-1,2 May 1835,1835-05-02,DBW,ppl:dbw,,,,
28,obj1449,Obj1507,1835,,M. Cohen,ppl:mcohen,obj1449-s-1,5 May [1835],1835-05-05,DBW,ppl:dbw,,Rue Tivoli,obj1449-pl-231,
29,obj1450,Obj1508,1835,,Dr Hosack,ppl:dhos,obj1450-s-1,7 May 1835,1835-05-07,DBW,ppl:dbw,,NY,obj1450-pl-232,
30,obj1451,Obj1509,1835,,W.H. Keating,ppl:whkeating,obj1451-s-1,11 May 1835,1835-05-11,DBW,ppl:dbw,,Philadelphia,obj1451-pl-235,
31,obj1452,Obj1510,1835,,Julius T. Ducatel,ppl:jtducatel,obj1452-s-1,13 May 1835,1835-05-13,DBW,ppl:dbw,,Baltimore,obj1452-pl-238,
32,obj1453,Obj1511,1835,,Dr Harlan,ppl:rharlan,obj1453-s-1,14 May 1835,1835-05-14,DBW,ppl:dbw,,Philadelphia,obj1453-pl-241,
33,obj1454,Obj1512,1835,,"George Frick,",ppl:gfrick,obj1454-s-1,15 May 1835,1835-05-15,DBW,ppl:dbw,,Baltimore,obj1454-pl-244,
34,obj1455,Obj1513,1835,,Moncure Robinson,ppl:mrob,obj1455-s-1,16 May 1835,1835-05-16,DBW,ppl:dbw,,,,
35,obj1456,Obj1514,1835,,Charles F. Beck,ppl:dcfb,obj1456-s-1,17 May 1835,1835-05-17,DBW,ppl:dbw,,Philadelphia,obj1456-pl-247,
